"orgclean","orgclean"
"ENDANGERED HABITATS LEAGUE",7
"ENGINEERING &UTILITY CONTRACTORSASSOCIATION",1
"ENGINEERING CONTRACTORS' ASSOCIATION",3
"ENGINEERING CONTRACTORS ASSOCIATION",1
"ENTERPRISE COMMUNITY PARTNERS",14
"ENTERPRISE COMMUNITY PARTNERS, INC.",10
"ENVIRONMENT CALIFORNIA",9
"ENVIRONMENTAL DEFENSE FUND",3
"ENVIRONMENTAL HEALTH COALITION",4
"EPISCOPAL COMMUNITY SERVICES OF SAN FRANCISCO",4
"EPISCOPAL COMMUNITY SERVICES, SAN FRANCISCO",1
"EQUALITY CALIFORNIA",4
"EVERYONE HOME",3
"EVERYONE HOME (ALAMEDA COUNTY CONTINUUM OF CARE)",1
"EVERYONE HOME, ENDING HOMELESSNESS IN ALAMEDA COUNTY",1
"FACEBOOK",14
"FACEBOOK, INC.",10
"FAIR HOUSING ADVOCATES OF NORTHERN CALIFORNIA",4
"FAITH IN THE VALLEY",9
"FAITH IN THE VALLEY, EAST PALO ALTO",1
"FAMILY VIOLENCE APPELLATE PROJECT",5
"FIELDSTEAD AND COMPANY, INC.",14
"FIRE DISTRICTS ASSOCIATION OF CALIFORNIA",5
"FIRST COMMUNITY HOUSING",9
"FIRST PLACE FOR YOUTH",6
"FRANKLIN CORRIDOR COALITION",7
"FRIENDS COMMITTEE ON LEGISLATION OF CALIFORNIA",8
"FRIENDS OF SUNSET PARK",8
"GENERATION HOUSING",12
"GLIDE",3
"GLIDE FOUNDATION",1
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE",22
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC.",1
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC. (GSMOL)",1
"GOLDEN STATE MANUFACTURED HOME OWNERS LEAGUE",7
"GOLDEN STATE MANUFACTURED HOMEOWNERS LEAGUE",3
"GOLDEN STATE MANUFACTURERS HOME OWNERS LEAGUE",2
"GRAYBURN AVENUE BLOCK CLUB",14
"GREENBELT ALLIANCE",27
"GREENLINING INSTITUTE",6
"GROUND GAME LA",5
"HABITAT CALIFORNIA",1
"HABITAT FOR HUMANITY",12
"HABITAT FOR HUMANITY CALIFORNIA",41
"HABITAT FOR HUMANITY EAST BAY",2
"HABITAT FOR HUMANITY EAST BAY / SILICON VALLEY",1
"HABITAT FOR HUMANITY EAST BAY/SILICON VALLEY",4
"HABITAT FOR HUMANITY GREATER SAN FRANCISCO",6
"HABITAT FOR HUMANITY OF GREATER SAN FRANCISCO",1
"HAMILTON FAMILIES",9
"HELLO HOUSING",6
"HILLS 2000- FRIENDS OF THE HILLS",1
"HILLS 2000 -- FRIENDS OF THE HILLS",1
"HILLS 2000 FRIENDS OF THE HILLS",3
"HILLS2000 - FRIENDS OF THE HILLS",2
"HOLLYWOOD CHAMBER OF COMMERCE",8
"HOMELESS ACTION CENTER",6
"HOMELESS HEALTH CARE LOS ANGELES",5
"HOUSING ACTION COALITION",27
"HOUSING ACTION COALITION (UNREG)",2
"HOUSING AND ECONOMIC RIGHTS ADVOCATES",6
"HOUSING CALIFORNIA",103
"HOUSING EQUALITY & ADVOCACY RESOURCE TEAM",5
"HOUSING EQUALITY & ADVOCACY RESOURCE TEAM (HEART)",2
"HOUSING LEADERSHIP COUNCIL OF SAN MATEO COUNTY",13
"HOUSING NOW",1
"HOUSING NOW!",3
"HOUSING NOW! CA",7
"HOUSING NOW! CALIFORNIA",1
"HOWARD JARVIS TAXPAYER ASSOCIATION",1
"HOWARD JARVIS TAXPAYERS ASSOCIATION",9
"HUNGER ACTION LOS ANGELES",4
"HUNGER ACTION LOS ANGELES (HALA)",1
"INNER CITY LAW CENTER",11
"INTERNATIONAL COUNCIL OF SHOPPING CENTERS",4
"INTERNATIONAL UNION OF OPERATING ENGINEERS, CAL-NEVADA CONFERENCE",6
"JAMBOREE",1
"JAMBOREE HOUSING CORPORATION",3
"JEWISH PUBLIC AFFAIRS COMMITTEE",3
"JEWISH PUBLIC AFFAIRS COMMITTEE OF CALIFORNIA",2
"JOHN BURTON ADVOCATES FOR YOUTH",8
"JOHN BURTON FOUNDATION",1
"JOHN BURTON FOUNDATION FOR CHILDREN WITHOUT HOMES",2
"JOHN L. BURTON ADVOCATES FOR YOUTH",1
"JOHN STEWART CO",1
"JOHN STEWART COMPANY",4
"JUDICIAL COUNCIL OF CALIFORNIA",6
"JUDICIAL COUNCIL OF CALIFORNIA (OPPOSE)",1
"KATE MEIS, EXECUTIVE DIRECTOR, LOCAL GOVERNMENT COMMISSION",1
"KENNEDY COMMISSION",3
"KENNEDY COMMISSION (ORANGE COUNTY)",1
"KIWA",3
"KOREATOWN IMMIGRANT WORKERS",1
"KOREATOWN IMMIGRANT WORKERS ALLIANCE",4
"LA FAMILY HOUSING",10
"LA FORWARD",5
"LA VOICE",5
"LAKE FOREST",1
"LARKIN STREET YOUTH SERVICES",8
"LATINO ALLIANCE FOR COMMUNITY ENGAGEMENT",6
"LAW FOUNDATION OF SILICON VALLEY",14
"LAWYERS' COMMITTEE FOR CIVIL RIGHTS OF SAN FRANCISCO BAY AREA",1
"LAWYERS' COMMITTEE FOR CIVIL RIGHTS OF THE SAN FRANCISCO BAY AREA",3
"LAWYERS COMMITTEE FOR CIVIL RIGHTS OF THE SAN FRANCISCO BAY AREA",1
"LEADERSHIP COUNCIL FOR JUSTICE & ACCOUNTABILITY",1
"LEADERSHIP COUNCIL FOR JUSTICE AND ACCOUNTABILITY",3
"LEADERSHIP COUNSEL FOR JUSTICE & ACCOUNTABILITY",5
"LEADERSHIP COUNSEL FOR JUSTICE AND ACCOUNTABILITY",9
"LEADING AGE",1
"LEADING AGE CALIFORNIA",6
"LEADINGAGE CALIFORNIA",28
"LEAGUE OF CALIFORNIA CITIES",156
"LEAGUE OF CITIES",2
"LEAGUE OF WOMEN VOTERS",1
"LEAGUE OF WOMEN VOTERS CALIFORNIA",1
"LEAGUE OF WOMEN VOTERS OF CALIFORNIA",17
"LEGAL AID FOUNDATION OF LOS ANGELES",9
"LEGAL AID OF SONOMA COUNTY",5
"LEGAL AID SOCIETY OF SAN DIEGO",5
"LEGAL SERVICES FOR PRISONER WITH CHILDREN",1
"LEGAL SERVICES FOR PRISONERS WITH CHILDREN",7
"LEGAL SERVICES FOR PRISONERS WITH CHILDREN (LSPC)",2
"LEGAL SERVICES OF NORTHERN CALIFORNIA",6
"LINC HOUSING",12
"LISC SAN DIEGO",12
"LITTLE TOKYO SERVICE CENTER",6
"LITTLE TOKYO SERVICE CENTER CDC",1
"LIVABLE CALIFORNIA",26
"LOCAL GOVERNMENT COMMISSION",12
"LONDON BREED, MAYOR OF SAN FRANCISCO",1
"LONG BEACH RESIDENTS EMPOWERED",4
"LONG BEACH RESIDENTS EMPOWERED - LIBRE",1
"LOS ANGELES AREA CHAMBER OF COMMERCE",7
"LOS ANGELES BUSINESS COUNCIL",20
"LOS ANGELES CITY",1
"LOS ANGELES COMMUNITY ACTION NETWORK",7
"LOS ANGELES COMMUNITY ACTION NETWORK (LA CAN)",1
"LOS ANGELES COMMUNITY ACTION NETWORK (LACAN)",1
"LOS ANGELES COMMUNITY COLLEGE DISTRICT",3
"LOS ANGELES COUNTY",4
"LOS ANGELES COUNTY BOARD OF SUPERVISORS",14
"LOS ANGELES COUNTY BUSINESS FEDERATION",6
"LOS ANGELES COUNTY BUSINESS FEDERATION -BIZFED",1
"LOS ANGELES COUNTY BUSINESS FEDERATION (BIZ-FED)",1
"LOS ANGELES COUNTY BUSINESS FEDERATION (BIZFED)",2
"LOS ANGELES COUNTY DIVISION LEAGUE OF CALIFORNIA CITIES",2
"LOS ANGELES COUNTY DIVISION OF THE LEAGUE OF CALIFORNIA CITIES",5
"LOS ANGELES COUNTY DIVISION, LEAGUE OF CALIFORNIA CITIES",5
"LOS ANGELES HOMELESS SERVICE...",1
"LOS ANGELES HOMELESS SERVICES AUTHORITY",15
"LOS ANGELES UNIFIED SCHOOL DISTRICT",3
"LOS ANGELES UNIFIED SCHOOL DISTRICT BOARD OF EDUCATION",1
"MAMMOTH LAKES HOUSING",1
"MAMMOTH LAKES HOUSING, INC.",2
"MANY MANSIONS",8
"MARIN COUNTY COUNCIL OF MAYORS & COUNCILMEMBERS",1
"MARIN COUNTY COUNCIL OF MAYORS AND COUNCIL",1
"MARIN COUNTY COUNCIL OF MAYORS AND COUNCIL MEMBERS",6
"MARIN COUNTY COUNCIL OF MAYORS AND COUNCILMEMBERS",8
"MARIN COUNTY COUNCIL OF MAYORS AND COUNCILMEMBERS - MCCC",1
"MAYOR ERIC GARCETTI",1
"MAYOR ERIC GARCETTI, CITY OF LOS ANGELES",6
"MAYOR LONDON BREED, CITY OF SAN FRANCISCO",2
"MENTAL HEALTH AMERICA",1
"MENTAL HEALTH AMERICA OF CALIFORNIA",6
"MENTAL HEALTH OF AMERICA",1
"MENTAL HEALTH OF AMERICA OF CALIFORNIA",1
"MERCY HOUSING",12
"MERCY HOUSING CALIFORNIA",7
"MERRITT COMMUNITY CAPITAL CORPORATION",7
"META",5
"METROPOLITAN TRANSPORTATION COMMISSION",13
"MID-PENINSULA HOUSING CORPORATION",1
"MIDPEN HOUSING",14
"MIDPEN HOUSING CORPORATION",24
"MIDPENINSULA REGIONAL OPEN SPACE DISTRICT",5
"MILITARY OFFICERS ASSOCIATION - CALIFORNIA COUNCIL OF CHAPTERS",1
"MILITARY OFFICERS ASSOCIATION OF AMERICA",1
"MILITARY OFFICERS ASSOCIATION OF AMERICA - CALIFORNIA COUNCIL OF CHAPTERS",3
"MILITARY OFFICERS ASSOCIATION OF AMERICA, CALIFORNIA COUNCIL OF CHAPTERS",1
"MISSION ECONOMIC DEVELOPMENT AGENCY",7
"MISSION ECONOMIC DEVELOPMENT AGENCY (MEDA)",1
"MISSION ECONOMIC DEVELOPMENT COMPANY",1
"MISSION STREET NEIGHBORS",15
"MODULAR BUILDING INSTITUTE",5
"MOUNTAIN VIEW YIMBY",12
"MOVE LA",7
"MUTUAL HOUSING CALIFORNIA",11
"NAACP",1
"NAIOP OF CALIFORNIA",4
"NAIOP OF CALIFORNIA, THE COMMERCIAL REAL ESTATE DEVELOPMENT ASSOCIATION",1
"NAPA COUNTY BOARD OF SUPERVISORS",5
"NATIONAL ALLIANCE ON MENTAL ILLNESS",4
"NATIONAL ALLIANCE ON MENTAL ILLNESS, CALIFORNIA",2
"NATIONAL ASSOCIATION OF SOCIAL WORKERS",12
"NATIONAL ASSOCIATION OF SOCIAL WORKERS- CALIFORNIA CHAPTER (NASW-CA)",1
"NATIONAL ASSOCIATION OF SOCIAL WORKERS - CALIFORNIA CHAPTER",6
"NATIONAL ASSOCIATION OF SOCIAL WORKERS, CA CHAP.",1
"NATIONAL ASSOCIATION OF SOCIAL WORKERS, CALIFORNIA (NASW-CA)",1
"NATIONAL ASSOCIATION OF SOCIAL WORKERS, CALIFORNIA CHAPTER",41
"NATIONAL ASSOCIATION OF SOCIAL WORKERS, CALIFORNIA CHAPTER PUBLIC COUNSEL",1
"NATIONAL COMMUNITY RENAISSANCE",4
"NATIONAL FEDERATION OF INDEPENDENT BUSINESS",6
"NATIONAL FEDERATION OF INDEPENDENT BUSINESS - CALIFORNIA",1
"NATIONAL HOUSING LAW PROJECT",19
"NATIONAL HOUSING LAW PROJECT (NHLP)",1
"NATURAL RESOURCES DEFENSE COUNCIL",24
"NATURE CONSERVANCY",1
"NEIGHBORHOOD LEGAL SERVICES OF LOS ANGELES",1
"NEIGHBORHOOD LEGAL SERVICES OF LOS ANGELES COUNTY",5
"NEW DIRECTIONS",3
"NEW DIRECTIONS FOR VETERANS",1
"NEW DIRECTIONS, INC.",1
"NEW LIVABLE CALIFORNIA",2
"NEW LIVABLE CALIFORNIA DBA LIVABLE CALIFORNIA",5
"NEW WAY HOMES",5
"NEXTGEN",1
"NEXTGEN CALIFORNIA",4
"NON- PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA",1
"NON-PROFIT HOUSING ASSOCIATION",1
"NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CA",2
"NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA",90
"NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA (NPH)",2
"NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA ALLIANCE FOR RETIRED AMERICANS",1
"NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA NORTHERN CALIFORNIA COMMUNITY LOAN FUND",1
"NON-PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA PUBLIC ADVOCATES",1
"NON PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA",8
"NONPROFIT HOUSING ASSOCIATION OF NORTH AMERICA",1
"NONPROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA",5
"NORTH BAY LEADERSHIP COUNCIL",24
"NORTH VALLEY PROPERTY OWNER ASSOCIATION",2
"NORTH VALLEY PROPERTY OWNERS' ASSOCIATION",1
"NORTH VALLEY PROPERTY OWNERS ASSOCIATION",8
"NORTHERN CALIFORNIA COMMUNITY LOAN FUND",5
"NORTHERN NEIGHBORS",7
"NORTHERN NEIGHBORS SF",2
"ONE INDIVIDUAL",5
"ORANGE COUNTY",2
"ORANGE COUNTY BOARD OF SUPERVISORS",7
"ORANGE COUNTY BUSINESS COUNCIL",21
"ORANGE COUNTY COUNCIL OF GOVERNMENTS",5
"ORANGE COUNTY UNITED WAY",7
"ORANGE; COUNTY OF",1
"PACIFIC COMPANIES, THE",2
"PACIFIC PALISADES COMMUNITY COUNCIL",6
"PALM COMMUNITIES",5
"PATH",8
"PATH (PEOPLE ASSISTING THE HOMELESS)",1
"PENINSULA FOR EVERYONE",16
"PEOPLE'S SELF HELP HOUSING CORPORATION",1
"PEOPLE FOR HOUSING - ORANGE COUNTY",12
"PEOPLE FOR HOUSING OC",1
"PEOPLE FOR HOUSING ORANGE COUNTY",5
"PEOPLE ORGANIZED FOR WESTSIDE RENEWAL",5
"PEOPLE ORGANIZED FOR WESTSIDE RENEWAL - POWER",1
"PEOPLE ORGANIZED FOR WESTSIDE RENEWAL (POWER)",1
"PEOPLES' SELF-HELP HOUSING",4
"PEOPLES' SELF HELP HOUSING",2
"PEP HOUSING",6
"PHYSICIANS FOR SOCIAL RESPONSIBILITY",1
"PHYSICIANS FOR SOCIAL RESPONSIBILITY - LOS ANGELES",4
"PICO",1
"PICO CALIFORNIA",13
"PLANNING AND CONSERVATION LEAGUE",17
"PLUMBING-HEATING-COOLING CONTRACTORS ASSOCIATION OF CALIFORNIA",5
"PLUMBING, HEATING AND COOLING CONTRACTORS",1
"POLICYLINK",10
"PROJECT SENTINEL",6
"PROTECTING OUR FOOTHILL COMMUNITY",5
"PUBLIC ADVOCATES",26
"PUBLIC ADVOCATES INC.",2
"PUBLIC ADVOCATES, INC",1
"PUBLIC COUNSEL",16
"PUBLIC INTEREST LAW PROJECT",22
"PUBLIC LAW CENTER",9
"REGIONAL ASTHMA MANAGEMENT & PREVENTION",1
"REGIONAL ASTHMA MANAGEMENT AND PREVENTION",5
"REGIONAL COUNCIL OF RURAL COUNTIES",3
"RELATED CALIFORNIA",11
"RESOURCES FOR COMMUNITY DEVELOPMENT",12
"RETIREMENT HOUSING FOUNDATION",5
"RIVIERA HOMEOWNERS ASSOCIATION",10
"ROOT & REBOUND",5
"ROOT AND REBOUND",1
"RURAL COMMUNITY ASSISTANCE CORPORATION",11
"RURAL COUNTY REPRESENTATIVES OF CALIFORNIA",29
"SACRAMENTO AREA COUNCIL OF GOVERNMENTS",4
"SACRAMENTO COUNCIL OF GOVERNMENTS",1
"SACRAMENTO HOUSING ALLIANCE",18
"SACRAMENTO HOUSING ALLIANCE/COALITION ON REGIONAL EQUITY",1
"SACRAMENTO REGIONAL BUILDERS EXCHANGE",9
"SACRAMENTO REGIONAL BUILDERS EXCHANGE (SRBX)",1
"SAJE",1
"SALESFORCE",4
"SALESFORCE.COM",1
"SAN BERNARDINO COUNTY",4
"SAN DIEGO COUNTY APARTMENT ASSOCIATION",7
"SAN DIEGO HOUSING COMMISSION",8
"SAN DIEGO HOUSING FEDERATION",36
"SAN DIEGO REGIONAL CHAMBER",1
"SAN DIEGO REGIONAL CHAMBER OF COMMERCE",7
"SAN FRANCISCO BAY AREA RAPID TRANSIT",1
"SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT",10
"SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT (BART)",2
"SAN FRANCISCO CHAMBER OF COMMERCE",5
"SAN FRANCISCO COUNCIL OF COMMUNITY HOUSING ORGANIZATIONS",3
"SAN FRANCISCO FOUNDATION",8
"SAN FRANCISCO HOUSING ACTION COALITION",26
"SAN FRANCISCO HOUSING COALITION",1
"SAN FRANCISCO MAYOR LONDON BREED",2
"SAN FRANCISCO TENANTS UNION",5
"SAN FRANCISCO UNIFIED SCHOOL DISTRICT",4
"SAN FRANCISCO YES-IN-MY-BACK-YARD PARTY",1
"SAN FRANCISCO YIMBY",7
"SAN GABRIEL VALLEY COUNCIL OF GOVERNMENTS",8
"SAN GABRIEL VALLEY ECONOMIC PARTNERSHIP",9
"SAN JOAQUIN VALLEY HOUSING COLLABORATIVE",4
"SAN LUIS OBISPO COUNTY HOUSING TRUST FUND",7
"SAN MATEO COUNTY BOARD OF SUPERVISORS",6
"SAN MATEO COUNTY ECONOMIC DEVELOPMENT ASSOCIATION",5
"SAND HILL PROPERTY COMPANY",12
"SANTA BARBARA RENTAL PROPERTY ASSOCIATION",12
"SANTA CLARA COUNTY",3
"SANTA CLARA COUNTY BOARD OF SUPERVISORS",8
"SANTA CLARA VALLEY OPEN SPACE AUTHORITY",4
"SANTA CLARA VALLEY WATER DISTRICT",5
"SANTA CRUZ YIMBY",17
"SANTA MONICANS FOR RENTER'S RIGHTS",1
"SANTA MONICANS FOR RENTERS' RIGHTS",7
"SATELLITE AFFORDABLE HOUSING ASSOCIATES",8
"SAVE LAFAYETTE",6
"SCHNEIDER ELECTRIC",9
"SEIU",4
"SEIU CALIFORNIA",11
"SELF-HELP ENTERPRISES",11
"SELF HELP ENTERPRISES",2
"SF COUNCIL OF COMMUNITY HOUSING ORGANIZATIONS",1
"SF YIMBY",1
"SHADOW HILLS PROPERTY OWNERS ASSOCIATION",10
"SHELTER PARTNERSHIP",5
"SHERMAN OAKS HOMEOWNERS ASSOCIATION",13
"SIERRA BUSINESS COUNCIL",15
"SIERRA CLUB",5
"SIERRA CLUB CALIFORNIA",22
"SIERRA CLUB CALIFORNIA (OPPOSE)",1
"SIERRA CLUB OF CALIFORNIA",2
"SILICON VALLEY @ HOME",10
"SILICON VALLEY AT HOME",24
"SILICON VALLEY AT HOME (SV@HOME)",4
"SILICON VALLEY COMMUNITY FOUNDATION",24
"SILICON VALLEY LEADERSHIP GROUP",29
"SKID ROW HOUSING TRUST",4
"SONOMA COUNTY BOARD OF SUPERVISORS",6
"SONOMA LAND TRUST",3
"SOUTH BAY CITIES COUNCIL OF GOVERNMENTS",18
"SOUTH BAY YIMBY",15
"SOUTH CALIFORNIA RENTAL HOUSING ASSOCIATION",6
"SOUTH PASADENA RESIDENTS FOR RESPONSIBLE GROWTH",13
"SOUTHERN CALIFORNIA ASSOCIATION OF GOVERNMENTS",7
"SOUTHERN CALIFORNIA ASSOCIATION OF NON-PROFIT HOUSING",13
"SOUTHERN CALIFORNIA ASSOCIATION OF NONPROFIT HOUSING",25
"SOUTHERN CALIFORNIA RENTAL HOUSING ASSOCIATION",19
"SOUTHWEST CALIFORNIA LEGISLATIVE COUNCIL",11
"ST. ANTHONY FOUNDATION",7
"ST. JOSEPH CENTER",6
"STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",11
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL",5
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL OF CALIFORNIA",10
"STATE BUILDING AND CONSTRUCTION TRADES COUNCIL, AFL-CIO",6
"STEINBERG INSTITUTE",6
"STRATEGIC ACTIONS FOR A JUST ECONOMY",7
"STREETS FOR PEOPLE",1
"STREETS FOR PEOPLE BAY AREA",5
"SUNSET-PARKSIDE EDUCATION AND ACTION COMMITTEE",5
"SUSTAINABLE TAMALMONTE",13
"SV@HOME",13
"SV@HOME ACTION FUND",15
"TAMALPAIS DESIGN REVIEW BOARD",8
"TECHEQUITY COLLABORATIVE",15
"TENANTS TOGETHER",12
"TENDERLOIN NEIGHBORHOOD DEVELOPMENT",1
"TENDERLOIN NEIGHBORHOOD DEVELOPMENT CORPORATION",11
"TERNER CENTER FOR HOUSING INNOVATION",3
"TERNER CENTER FOR HOUSING INNOVATION AT THE UNIVERSITY OF CALIFORNIA, BERKELEY",13
"TERNER CENTER FOR HOUSING INNOVATION AT THE UNIVERSITY OF CALIFORNIA, BERKELEY URBAN ENVIRONMENTALISTS",1
"TERNER CENTER FOR HOUSING INNOVATION AT UC BERKELEY",1
"TERNER CENTER FOR HOUSING INNOVATION, UC BERKELEY",1
"THE ARC AND UNITED CEREBRAL PALSY CALIFORNIA",1
"THE ARC AND UNITED CEREBRAL PALSY CALIFORNIA COLLABORATION",5
"THE ARC AND UNITED CEREBRAL PALSY COLLABORATION",1
"THE ARC AND UNITED CEREBRAL PALSY IN CALIFORNIA",1
"THE BAY AREA COUNCIL",1
"THE CALIFORNIA STATE ASSOCIATION OF COUNTIES",1
"THE CASITA COALITION",3
"THE CHILDREN'S ADVOCACY INSTITUTE",1
"THE COUNTY OF SAN BERNARDINO",1
"THE COUNTY OF SAN DIEGO",1
"THE COUNTY OF SANTA CLARA",1
"THE GREENLINING INSTITUTE",6
"THE JOHN STEWART COMPANY",3
"THE KENNEDY COMMISSION",4
"THE NATURE CONSERVANCY",3
"THE PACIFIC COMPANIES",6
"THE PEOPLE CONCERN",4
"THE PUBLIC INTEREST LAW PROJECT",3
"THE SAN FRANCISCO FOUNDATION",4
"THE SAN JOAQUIN VALLEY HOUSING COLLABORATIVE",1
"THE TRUST FOR PUBLIC LAND",1
"THE TWO HUNDRED",37
"THE UNITED WAY OF GREATER LOS ANGELES",2
"TMG PARTNERS",26
"TOWN OF DANVILLE",6
"TRANSFORM",10
"TRUST FOR PUBLIC LAND",4
"UDW/AFSCME LOCAL 3930",5
"UNION STATION HOMELESS SERVICES",6
"UNITED FOOD AND COMMERCIAL WORKERS - WESTERN STATES CONFERENCE",1
"UNITED FOOD AND COMMERCIAL WORKERS UNION (UFCW) WESTERN STATES COUNCIL",1
"UNITED FOOD AND COMMERCIAL WORKERS, WESTERN STATES COUNCIL",2
"UNITED NEIGHBORHOODS FOR LOS ANGELES",3
"UNITED NEIGHBORHOODS FOR LOS ANGELES (UN4LA)",3
"UNITED WAY BAY AREA",6
"UNITED WAY GREATER LOS ANGELES",1
"UNITED WAY OF GREATER LOS ANGELES",14
"UNITED WAY OF LOS ANGELES",1
"UNITED WAYS OF CALIFORNIA",8
"UP FOR GROWTH",4
"UP FOR GROWTH CALIFORNIA",2
"UP FOR GROWTH NATIONAL COALITION",1
"URBAN COUNTIES CAUCUS",6
"URBAN COUNTIES OF CALIFORNIA",22
"URBAN ENVIRONMENTALISTS",13
"URBAN HABITAT",10
"VALLEY INDUSTRY & COMMERCE ASSOCIATION",6
"VALLEY INDUSTRY AND COMMERCE ASSOCIATION",10
"VENICE COMMUNITY HOUSING",2
"VENICE COMMUNITY HOUSING CORPORATION",8
"VENTURA COUNCIL OF GOVERNMENTS",12
"VENTURA COUNTY BOARD OF SUPERVISORS",8
"VETERANS OF FOREIGN WARS - DEPARTMENT OF CALIFORNIA",3
"VETERANS OF FOREIGN WARS, DEPARTMENT OF CALIFORNIA",1
"VFW - DEPARTMENT OF CALIFORNIA",1
"VIETNAM VETERANS ASSOCIATION OF AMERICA - CALIFORNIA STATE COUNCIL",1
"VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL",2
"VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL WESTERN CENTER ON LAW AND POVERTY",1
"VIETNAM VETERANS OF AMERICA, CALIFORNIA STATE COUNCIL",3
"VIETNAM VETERANS OF AMERICAN - CALIFORNIA STATE COUNCIL",1
"VIETNAM VETERANS OF CALIFORNIA",1
"VIETNAM VETERANS OF CALIFORNIA, INC.",1
"WAKELAND HOUSING AND COMMUNITY DEVELOPMENT CORPORATION",1
"WAKELAND HOUSING AND DEVELOPMENT CORPORATION",5
"WESTERN CENTER ON LAW & POLICY",1
"WESTERN CENTER ON LAW & POVERTY",36
"WESTERN CENTER ON LAW & POVERTY, INC.",4
"WESTERN CENTER ON LAW AND POVERTY",84
"WESTERN CENTER ON POVERTY",1
"WESTERN ELECTRICAL CONTRACTORS ASSOCIATION",10
"WESTERN MANUFACTURED HOUSING COMMUNITIES",1
"WESTERN MANUFACTURED HOUSING COMMUNITIES ASSOC.",1
"WESTERN MANUFACTURED HOUSING COMMUNITIES ASSOCIATION",32
"WESTERN QUADRANT OF NORTH LEIMERT PARK",5
"WESTERN STATES COUNCIL OF SHEET METAL WORKERS",5
"WESTERN STATES COUNCIL SHEET METAL, AIR, RAIL AND TRANSPORTATION",7
"WESTWOOD HILLS PROPERTY OWNERS ASSOCIATION",6
"WOMEN ORGANIZING RESOURCES, KNOWLEDGE & SERVICES",1
"WOMEN ORGANIZING RESOURCES, KNOWLEDGE AND SERVICES",3
"WOMEN ORGANIZING RESOURCES, KNOWLEDGE, AND SERVICES",1
"WORKING PARTNERSHIPS",1
"WORKING PARTNERSHIPS USA",10
"YIMBY ACTION",25
"YIMBY DEMOCRATS OF SAN DIEGO COUNTY",7
"ZILLOW GROUP",11
